Author,Message,Timestamp
nickyye,test with csv append to file,1725526773
nickyye,test with csv append to file 2,1725527352
nickyye,test with csv append to file 5,1725527376
nickyye,test with csv append to file 9,1725527382
nickyye,test with csv append to file 21,1725527393
nickyye,test with csv append to file 21233,1725527405
nickyye,test with csv append to file 212332,1725527473
nickyye,test with new uli,1725528942
nickyye,test with new uli 2,1725528978
nickyye,ah?,1725529006
nickyye,test merge,1725529576
nickyye,øh,1725529697
nickyye,test with simpleDB,1725621045
nickyye,test after merge,1725621851
marku,De cheeps der skulle være med er væk RIP,1725792808
nickyye,lort,1726065879
nickyye,test with singleton pattern,1726138441
frederik,hello,1726753454
frederik,hello,1726753482
frederik,hello,1726753490
frederik,databasen er nu fikset,1726753516
frederik,databasen er nu fikset,1726773292